name,population
"Piatt County, IL",16396
"Richland County, WI",17377
"Rock Island County, IL",143477
"Sangamon County, IL",195348
"Schuyler County, NY",17912
"Stark County, OH",371574
"Stephenson County, IL",44753
"Tazewell County, VA",40855
"Vermilion County, IL",76806
"Wabash County, IN",31280
"Whiteside County, IL",55626
"Will County, IL",692310
"Williamson County, TX",566719
"Winnebago County, WI",171020
"Woodford County, KY",26533
"Allen County, OH",102663
"Bartholomew County, IN",82753
"Blackford County, IN",11930
"Daviess County, MO",8313
"Dearborn County, IN",49568
"Delaware County, PA",564751
"Dubois County, IN",42565
"Elkhart County, IN",205560
"Fountain County, IN",16351
"Gibson County, TN",49045
"Harrison County, WV",67554
"Hendricks County, IN",167009
"Huntington County, IN",36240
"Jay County, IN",20764
"Jennings County, IN",27611
"Kosciusko County, IN",79344
"LaGrange County, IN",39330
"LaPorte County, IN",110007
"Miami County, OH",106222
"Noble County, OK",11289
"Ohio County, WV",41755
"Owen County, KY",10880
"Parke County, IN",16927
"Porter County, IN",169594
"Posey County, IN",25540
"Ripley County, MO",13401
"Rush County, KS",3093
"St. Joseph County, MI",61043
"Spencer County, KY",18794
"Starke County, IN",22935
"Steuben County, NY",95796
"Sullivan County, TN",157668
"Switzerland County, IN",10717
"Tippecanoe County, IN",193048
"Tipton County, TN",61581
"Vanderburgh County, IN",180974
"Vermillion County, IN",15479
"Vigo County, IN",107386
"Warrick County, IN",62567
"Wells County, ND",3957
"Whitley County, KY",36242
"Adair County, OK",22082
"Allamakee County, IA",13832
"Appanoose County, IA",12437
"Audubon County, IA",5506
"Black Hawk County, IA",132408
"Bremer County, IA",24947
"Buchanan County, VA",21221
"Buena Vista County, IA",19874
"Cedar County, NE",8446
"Cerro Gordo County, IA",42647
"Chickasaw County, MS",17171
"Davis County, UT",351713
"Des Moines County, IA",39138
"Dickinson County, MI",25383
"Dubuque County, IA",96854
"Emmet County, MI",33308
"Guthrie County, IA",10720
"Ida County, IA",6841
"Iowa County, WI",23771
"Keokuk County, IA",10225
"Kossuth County, IA",14908
"Linn County, OR",127335
"Louisa County, VA",36778
"Lucas County, OH",429899
"Lyon County, NV",55808
"Mahaska County, IA",22000
"Mills County, TX",4921
"Monona County, IA",8679
"Muscatine County, IA",42929
"O'Brien County, IA",13840
"Page County, VA",23933
"Palo Alto County, IA",8929
"Plymouth County, MA",518132
"Pocahontas County, WV",8414
"Pottawattamie County, IA",93533
"Poweshiek County, IA",18699
"Ringgold County, IA",4968
"Sac County, IA",9719
"Sioux County, ND",4358
"Story County, IA",98105
"Tama County, IA",16904
"Wapello County, IA",35205
"Winneshiek County, IA",20029
"Woodbury County, IA",102539
"Wright County, MO",18378
"Anderson County, TX",58057
"Atchison County, MO",5171
"Barber County, KS",4472
"Barton County, MO",11798
"Bourbon County, KY",20184
"Chase County, NE",3977
"Chautauqua County, NY",127939
"Cloud County, KS",8729
"Coffey County, KS",8233
"Comanche County, TX",13534
"Cowley County, KS",35218
"Doniphan County, KS",7682
"Elk County, PA",30169
"Ellis County, TX",179436
"Ellsworth County, KS",6196
"Finney County, KS",36611
"Geary County, KS",32594
"Gove County, KS",2612
"Gray County, TX",21895
"Greeley County, NE",2356
"Greenwood County, SC",70741
"Harper County, OK",3797
"Harvey County, KS",34210
"Haskell County, TX",5813
"Hodgeman County, KS",1818
"Jewell County, KS",2841
"Kearny County, KS",3943
"Kingman County, KS",7310
"Labette County, KS",19964
"Lane County, OR",379611
"Leavenworth County, KS",81352
"McPherson County, SD",2407
"Meade County, SD",28294
"Morris County, TX",12339
"Morton County, ND",31095
"Nemaha County, NE",6958
"Neosho County, KS",15951
"Ness County, KS",2840
"Norton County, KS",5430
"Osage County, OK",47014
"Osborne County, KS",3475
"Ottawa County, OK",31175
"Pawnee County, OK",16390
"Pottawatomie County, OK",72679
"Pratt County, KS",9378
"Rawlins County, KS",2508
"Reno County, KS",62342
"Republic County, KS",4664
"Rice County, MN",66523
"Riley County, KS",73703
"Rooks County, KS",5013
"Seward County, NE",17318
"Shawnee County, KS",177499
"Sheridan County, WY",30233
"Sherman County, TX",3079
"Smith County, TX",230221
"Stafford County, VA",149960
"Stanton County, NE",5970
"Stevens County, WA",45260
"Sumner County, TN",187149
"Trego County, KS",2793
"Wabaunsee County, KS",6899
"Wallace County, KS",1503
"Wichita County, TX",132064
"Wilson County, TX",50224
"Woodson County, KS",3183
"Wyandotte County, KS",165324
"Ballard County, KY",7979
"Barren County, KY",44176
"Bath County, VA",4292
"Bell County, TX",355642
"Boyd County, NE",1955
"Boyle County, KY",30100
"Bracken County, KY",8239
"Breathitt County, KY",12726
"Breckinridge County, KY",20388
"Bullitt County, KY",81069
"Caldwell County, TX",43247
"Calloway County, KY",39135
"Campbell County, WY",46140
"Carlisle County, KY",4771
"Carter County, TN",56351
"Casey County, KY",15888
"Edmonson County, KY",12274
"Elliott County, KY",7508
"Estill County, KY",14198
"Fleming County, KY",14432
"Garrard County, KY",17560
"Graves County, KY",37317
"Grayson County, VA",15631
"Green County, WI",36929
"Greenup County, KY",35268
"Harlan County, NE",3401
"Hickman County, TN",25063
"Hopkins County, TX",36810
"Jessamine County, KY",53920
"Kenton County, KY",166051
"Knott County, KY",15126
"Larue County, KY",14307
"Laurel County, KY",60669
"Leslie County, KY",10143
"Letcher County, KY",21899
"McCracken County, KY",65346
"McCreary County, KY",17408
"Magoffin County, KY",12362
"Menifee County, KY",6451
"Metcalfe County, KY",10030
"Muhlenberg County, KY",30774
"Nelson County, VA",14836
"Nicholas County, WV",24842
"Oldham County, TX",2131
"Owsley County, KY",4472
"Pendleton County, WV",6997
"Powell County, MT",6968
"Robertson County, TX",17284
"Rockcastle County, KY",16750
"Rowan County, NC",141262
"Simpson County, MS",26758
"Todd County, SD",10283
"Trigg County, KY",14643
"Trimble County, KY",8515
"Wolfe County, KY",7177
"Acadia Parish, LA",62190
"Allen Parish, LA",25605
"Ascension Parish, LA",124672
"Assumption Parish, LA",22300
"Avoyelles Parish, LA",40462
"Beauregard Parish, LA",37253
"Bienville Parish, LA",13308
"Bossier Parish, LA",127185
"Caddo Parish, LA",242922
"Calcasieu Parish, LA",203112
"Caldwell Parish, LA",9960
"Cameron Parish, LA",6968
"Catahoula Parish, LA",9608
"Claiborne Parish, LA",15944
"Concordia Parish, LA",19572
"De Soto Parish, LA",27436
"East Baton Rouge Parish, LA",440956
"East Carroll Parish, LA",7037
"East Feliciana Parish, LA",19305
"Evangeline Parish, LA",33443
"Franklin Parish, LA",20156
"Grant Parish, LA",22482
"Iberia Parish, LA",70941
"Iberville Parish, LA",32721
"Jackson Parish, LA",15902
"Jefferson Parish, LA",434051
"Jefferson Davis Parish, LA",31582
"Lafayette Parish, LA",242782
"Lafourche Parish, LA",98115
"LaSalle Parish, LA",14917
"Lincoln Parish, LA",47196
"Livingston Parish, LA",139567
"Madison Parish, LA",11161
"Morehouse Parish, LA",25398
